snapshot_date,blood_type,units
2026-05-08,B+,86
2026-05-08,B-,72
2026-05-08,O+,144
2026-05-08,O-,107
2026-05-09,A+,129
2026-05-09,A-,48
2026-05-09,AB+,45
2026-05-09,AB-,38
2026-05-09,B+,89
2026-05-09,B-,82
2026-05-09,O+,167
2026-05-09,O-,123
2026-05-10,A+,118
2026-05-10,A-,46
2026-05-10,AB+,46
2026-05-10,AB-,35
2026-05-10,B+,93
2026-05-10,B-,82
2026-05-10,O+,145
2026-05-10,O-,116
2026-05-11,A+,116
2026-05-11,A-,43
2026-05-11,AB+,37
2026-05-11,AB-,36
2026-05-11,B+,82
2026-05-11,B-,78
2026-05-11,O+,141
2026-05-11,O-,109
2026-05-12,A+,100
2026-05-12,A-,44
2026-05-12,AB+,42
2026-05-12,AB-,34
2026-05-12,B+,80
2026-05-12,B-,77
2026-05-12,O+,140
2026-05-12,O-,105
2026-05-13,A+,103
2026-05-13,A-,45
2026-05-13,AB+,42
2026-05-13,AB-,36
2026-05-13,B+,92
2026-05-13,B-,76
2026-05-13,O+,143
2026-05-13,O-,118
2026-05-14,A+,109
2026-05-14,A-,45
2026-05-14,AB+,43
2026-05-14,AB-,33
2026-05-14,B+,83
2026-05-14,B-,73
2026-05-14,O+,141
2026-05-14,O-,108
2026-05-15,A+,109
2026-05-15,A-,42
2026-05-15,AB+,39
2026-05-15,AB-,29
2026-05-15,B+,76
2026-05-15,B-,72
2026-05-15,O+,144
2026-05-15,O-,115
2026-05-16,A+,114
2026-05-16,A-,46
2026-05-16,AB+,47
2026-05-16,AB-,38
2026-05-16,B+,89
2026-05-16,B-,78
2026-05-16,O+,163
2026-05-16,O-,119
2026-05-17,A+,119
2026-05-17,A-,50
2026-05-17,AB+,41
2026-05-17,AB-,38
2026-05-17,B+,89
2026-05-17,B-,80
2026-05-17,O+,148
2026-05-17,O-,119
2026-05-18,A+,106
2026-05-18,A-,46
2026-05-18,AB+,39
2026-05-18,AB-,34
2026-05-18,B+,85
2026-05-18,B-,74
2026-05-18,O+,138
2026-05-18,O-,111
2026-05-19,A+,105
2026-05-19,A-,44
2026-05-19,AB+,41
2026-05-19,AB-,31
2026-05-19,B+,79
2026-05-19,B-,72
2026-05-19,O+,142
2026-05-19,O-,114
2026-05-20,A+,104
2026-05-20,A-,49
2026-05-20,AB+,41
2026-05-20,AB-,39
2026-05-20,B+,80
2026-05-20,B-,74
2026-05-20,O+,144
2026-05-20,O-,112
2026-05-21,A+,109
2026-05-21,A-,46
2026-05-21,AB+,38
2026-05-21,AB-,36
2026-05-21,B+,90
2026-05-21,B-,73
2026-05-21,O+,143
2026-05-21,O-,111
2026-05-22,A+,108
2026-05-22,A-,40
2026-05-22,AB+,39
2026-05-22,AB-,35
2026-05-22,B+,76
2026-05-22,B-,73
2026-05-22,O+,149
2026-05-22,O-,103
2026-05-23,A+,121
2026-05-23,A-,45
2026-05-23,AB+,47
2026-05-23,AB-,37
2026-05-23,B+,96
2026-05-23,B-,75
2026-05-23,O+,153
2026-05-23,O-,122
2026-05-24,A+,120
2026-05-24,A-,48
2026-05-24,AB+,44
2026-05-24,AB-,36
2026-05-24,B+,88
2026-05-24,B-,75
2026-05-24,O+,152
2026-05-24,O-,126
2026-05-25,A+,112
2026-05-25,A-,43
2026-05-25,AB+,42
2026-05-25,AB-,33
2026-05-25,B+,79
2026-05-25,B-,70
2026-05-25,O+,139
2026-05-25,O-,118
2026-05-26,A+,110
2026-05-26,A-,42
2026-05-26,AB+,41
2026-05-26,AB-,34
2026-05-26,B+,84
2026-05-26,B-,72
2026-05-26,O+,149
2026-05-26,O-,110
2026-05-27,A+,104
2026-05-27,A-,47
2026-05-27,AB+,42
2026-05-27,AB-,34
2026-05-27,B+,81
2026-05-27,B-,69
2026-05-27,O+,146
2026-05-27,O-,112
2026-05-28,A+,105
2026-05-28,A-,45
2026-05-28,AB+,40
2026-05-28,AB-,30
2026-05-28,B+,84
2026-05-28,B-,71
2026-05-28,O+,155
2026-05-28,O-,105
2026-05-29,A+,112
2026-05-29,A-,46
2026-05-29,AB+,42
2026-05-29,AB-,33
2026-05-29,B+,79
2026-05-29,B-,71
2026-05-29,O+,145
2026-05-29,O-,109
2026-05-30,A+,114
2026-05-30,A-,47
2026-05-30,AB+,43
2026-05-30,AB-,34
2026-05-30,B+,90
2026-05-30,B-,78
2026-05-30,O+,164
2026-05-30,O-,120
2026-05-31,A+,117
2026-05-31,A-,46
2026-05-31,AB+,43
2026-05-31,AB-,30
2026-05-31,B+,84
2026-05-31,B-,79
2026-05-31,O+,147
2026-05-31,O-,126
2026-06-01,A+,96
2026-06-01,A-,40
2026-06-01,AB+,37
2026-06-01,AB-,29
2026-06-01,B+,74
2026-06-01,B-,65
2026-06-01,O+,134
2026-06-01,O-,98
2026-06-02,A+,92
2026-06-02,A-,36
2026-06-02,AB+,37
2026-06-02,AB-,31
2026-06-02,B+,73
2026-06-02,B-,59
2026-06-02,O+,131
2026-06-02,O-,99
2026-06-03,A+,102
2026-06-03,A-,40
2026-06-03,AB+,34
2026-06-03,AB-,31
2026-06-03,B+,76
2026-06-03,B-,65
2026-06-03,O+,135
2026-06-03,O-,98
2026-06-04,A+,100
2026-06-04,A-,39
2026-06-04,AB+,38
2026-06-04,AB-,29
2026-06-04,B+,82
2026-06-04,B-,63
2026-06-04,O+,128
2026-06-04,O-,99
2026-06-05,A+,98
2026-06-05,A-,39
2026-06-05,AB+,37
2026-06-05,AB-,29
2026-06-05,B+,71
2026-06-05,B-,61
2026-06-05,O+,121
2026-06-05,O-,99
2026-06-06,A+,105
2026-06-06,A-,46
2026-06-06,AB+,38
2026-06-06,AB-,32
2026-06-06,B+,83
2026-06-06,B-,70
2026-06-06,O+,136
2026-06-06,O-,109
2026-06-07,A+,107
2026-06-07,A-,48
2026-06-07,AB+,40
2026-06-07,AB-,35
2026-06-07,B+,84
2026-06-07,B-,66
2026-06-07,O+,145
2026-06-07,O-,98
2026-06-08,A+,100
2026-06-08,A-,36
2026-06-08,AB+,36
2026-06-08,AB-,28
2026-06-08,B+,77
2026-06-08,B-,61
2026-06-08,O+,128
2026-06-08,O-,100
2026-06-09,A+,99
2026-06-09,A-,39
2026-06-09,AB+,36
2026-06-09,AB-,28
2026-06-09,B+,73
2026-06-09,B-,59
2026-06-09,O+,128
2026-06-09,O-,95
2026-06-10,A+,97
2026-06-10,A-,41
2026-06-10,AB+,43
2026-06-10,AB-,29
2026-06-10,B+,71
2026-06-10,B-,64
2026-06-10,O+,120
2026-06-10,O-,101
2026-06-11,A+,98
2026-06-11,A-,41
2026-06-11,AB+,39
2026-06-11,AB-,31
2026-06-11,B+,67
2026-06-11,B-,64
2026-06-11,O+,123
2026-06-11,O-,100
2026-06-12,A+,92
2026-06-12,A-,39
2026-06-12,AB+,35
2026-06-12,AB-,30
2026-06-12,B+,72
2026-06-12,B-,58
2026-06-12,O+,132
2026-06-12,O-,99
2026-06-13,A+,98
2026-06-13,A-,45
2026-06-13,AB+,41
2026-06-13,AB-,31
2026-06-13,B+,86
2026-06-13,B-,69
2026-06-13,O+,134
2026-06-13,O-,111
2026-06-14,A+,98
2026-06-14,A-,46
2026-06-14,AB+,44
2026-06-14,AB-,33
2026-06-14,B+,77
2026-06-14,B-,67
2026-06-14,O+,137
2026-06-14,O-,100
2026-06-15,A+,96
2026-06-15,A-,37
2026-06-15,AB+,39
2026-06-15,AB-,29
2026-06-15,B+,75
2026-06-15,B-,61
2026-06-15,O+,134
2026-06-15,O-,96
2026-06-16,A+,92
2026-06-16,A-,39
2026-06-16,AB+,36
2026-06-16,AB-,28
2026-06-16,B+,79
2026-06-16,B-,62
2026-06-16,O+,125
2026-06-16,O-,94
2026-06-17,A+,100
2026-06-17,A-,41
2026-06-17,AB+,36
2026-06-17,AB-,29
2026-06-17,B+,72
2026-06-17,B-,62
2026-06-17,O+,123
2026-06-17,O-,98
2026-06-18,A+,96
2026-06-18,A-,41
2026-06-18,AB+,37
2026-06-18,AB-,30
2026-06-18,B+,73
2026-06-18,B-,57
2026-06-18,O+,122
2026-06-18,O-,96
2026-06-19,A+,92
2026-06-19,A-,38
2026-06-19,AB+,41
2026-06-19,AB-,32
2026-06-19,B+,68
2026-06-19,B-,61
2026-06-19,O+,136
2026-06-19,O-,100
2026-06-20,A+,108
2026-06-20,A-,46
2026-06-20,AB+,41
2026-06-20,AB-,34
2026-06-20,B+,74
2026-06-20,B-,64
2026-06-20,O+,152
2026-06-20,O-,109
2026-06-21,A+,107
2026-06-21,A-,42
2026-06-21,AB+,37
2026-06-21,AB-,30
2026-06-21,B+,83
2026-06-21,B-,64
2026-06-21,O+,132
2026-06-21,O-,99
2026-06-22,A+,93
2026-06-22,A-,39
2026-06-22,AB+,38
2026-06-22,AB-,28
2026-06-22,B+,71
2026-06-22,B-,60
2026-06-22,O+,132
2026-06-22,O-,95
2026-06-23,A+,94
2026-06-23,A-,35
2026-06-23,AB+,36
2026-06-23,AB-,30
2026-06-23,B+,73
2026-06-23,B-,61
2026-06-23,O+,131
2026-06-23,O-,96
2026-06-24,A+,103
2026-06-24,A-,39
2026-06-24,AB+,38
2026-06-24,AB-,31
2026-06-24,B+,70
2026-06-24,B-,61
2026-06-24,O+,139
2026-06-24,O-,95
2026-06-25,A+,102
2026-06-25,A-,41
2026-06-25,AB+,40
2026-06-25,AB-,29
2026-06-25,B+,73
2026-06-25,B-,62
2026-06-25,O+,123
2026-06-25,O-,99
2026-06-26,A+,99
2026-06-26,A-,38
2026-06-26,AB+,38
2026-06-26,AB-,22
2026-06-26,B+,70
2026-06-26,B-,56
2026-06-26,O+,131
2026-06-26,O-,92
2026-06-27,A+,109
2026-06-27,A-,42
2026-06-27,AB+,43
2026-06-27,AB-,36
2026-06-27,B+,84
2026-06-27,B-,66
2026-06-27,O+,129
2026-06-27,O-,105
2026-06-28,A+,102
2026-06-28,A-,40
2026-06-28,AB+,39
2026-06-28,AB-,31
2026-06-28,B+,84
2026-06-28,B-,61
2026-06-28,O+,129
2026-06-28,O-,104
2026-06-29,A+,98
2026-06-29,A-,41
2026-06-29,AB+,40
2026-06-29,AB-,30
2026-06-29,B+,69
2026-06-29,B-,63
2026-06-29,O+,127
2026-06-29,O-,100
2026-06-30,A+,96
2026-06-30,A-,37
2026-06-30,AB+,34
2026-06-30,AB-,29
2026-06-30,B+,71
2026-06-30,B-,61
2026-06-30,O+,131
2026-06-30,O-,99
2026-07-01,A+,104
2026-07-01,A-,39
2026-07-01,AB+,36
2026-07-01,AB-,30
2026-07-01,B+,80
2026-07-01,B-,61
2026-07-01,O+,129
2026-07-01,O-,99
2026-07-02,A+,102
2026-07-02,A-,39
2026-07-02,AB+,39
2026-07-02,AB-,28
2026-07-02,B+,75
2026-07-02,B-,59
2026-07-02,O+,128
2026-07-02,O-,97
2026-07-03,A+,97
2026-07-03,A-,41
2026-07-03,AB+,41
2026-07-03,AB-,30
2026-07-03,B+,67
2026-07-03,B-,52
2026-07-03,O+,130
2026-07-03,O-,88
2026-07-04,A+,107
2026-07-04,A-,44
2026-07-04,AB+,39
2026-07-04,AB-,27
2026-07-04,B+,81
2026-07-04,B-,66
2026-07-04,O+,143
2026-07-04,O-,106
2026-07-05,A+,102
2026-07-05,A-,44
2026-07-05,AB+,40
2026-07-05,AB-,33
2026-07-05,B+,81
2026-07-05,B-,63
2026-07-05,O+,138
2026-07-05,O-,95
2026-07-06,A+,94
2026-07-06,A-,35
2026-07-06,AB+,35
2026-07-06,AB-,32
2026-07-06,B+,76
2026-07-06,B-,62
2026-07-06,O+,139
2026-07-06,O-,105
2026-07-07,A+,94
2026-07-07,A-,35
2026-07-07,AB+,37
2026-07-07,AB-,32
2026-07-07,B+,80
2026-07-07,B-,57
2026-07-07,O+,123
2026-07-07,O-,95
2026-07-08,A+,97
2026-07-08,A-,39
2026-07-08,AB+,37
2026-07-08,AB-,31
2026-07-08,B+,75
2026-07-08,B-,60
2026-07-08,O+,132
2026-07-08,O-,108
2026-07-09,A+,99
2026-07-09,A-,38
2026-07-09,AB+,40
2026-07-09,AB-,28
2026-07-09,B+,72
2026-07-09,B-,57
2026-07-09,O+,131
2026-07-09,O-,95
2026-07-10,A+,94
2026-07-10,A-,39
2026-07-10,AB+,34
2026-07-10,AB-,29
2026-07-10,B+,74
2026-07-10,B-,57
2026-07-10,O+,131
2026-07-10,O-,90
2026-07-11,A+,109
2026-07-11,A-,46
2026-07-11,AB+,47
2026-07-11,AB-,37
2026-07-11,B+,84
2026-07-11,B-,62
2026-07-11,O+,137
2026-07-11,O-,103
2026-07-12,A+,101
2026-07-12,A-,47
2026-07-12,AB+,40
2026-07-12,AB-,31
2026-07-12,B+,79
2026-07-12,B-,58
2026-07-12,O+,129
2026-07-12,O-,108
2026-07-13,A+,97
2026-07-13,A-,41
2026-07-13,AB+,37
2026-07-13,AB-,32
2026-07-13,B+,77
2026-07-13,B-,54
2026-07-13,O+,133
2026-07-13,O-,94
2026-07-14,A+,91
2026-07-14,A-,35
2026-07-14,AB+,36
2026-07-14,AB-,28
2026-07-14,B+,68
2026-07-14,B-,56
2026-07-14,O+,132
2026-07-14,O-,94
2026-07-15,A+,95
2026-07-15,A-,38
2026-07-15,AB+,36
2026-07-15,AB-,32
2026-07-15,B+,72
2026-07-15,B-,59
2026-07-15,O+,136
2026-07-15,O-,97
2026-07-16,A+,99
2026-07-16,A-,40
2026-07-16,AB+,38
2026-07-16,AB-,28
2026-07-16,B+,67
2026-07-16,B-,54
2026-07-16,O+,127
2026-07-16,O-,97
2026-07-17,A+,102
2026-07-17,A-,41
2026-07-17,AB+,36
2026-07-17,AB-,30
2026-07-17,B+,69
2026-07-17,B-,55
2026-07-17,O+,130
2026-07-17,O-,97
2026-07-18,A+,101
2026-07-18,A-,49
2026-07-18,AB+,39
2026-07-18,AB-,28
2026-07-18,B+,82
2026-07-18,B-,62
2026-07-18,O+,150
2026-07-18,O-,105
2026-07-19,A+,104
2026-07-19,A-,42
2026-07-19,AB+,44
2026-07-19,AB-,33
2026-07-19,B+,81
2026-07-19,B-,61
2026-07-19,O+,138
2026-07-19,O-,99
2026-07-20,A+,101
2026-07-20,A-,41
2026-07-20,AB+,39
2026-07-20,AB-,28
2026-07-20,B+,74
2026-07-20,B-,57
2026-07-20,O+,116
2026-07-20,O-,92
2026-07-21,A+,96
2026-07-21,A-,33
2026-07-21,AB+,34
2026-07-21,AB-,29
2026-07-21,B+,72
2026-07-21,B-,57
2026-07-21,O+,127
2026-07-21,O-,94
2026-07-22,A+,99
2026-07-22,A-,44
2026-07-22,AB+,37
2026-07-22,AB-,29
2026-07-22,B+,73
2026-07-22,B-,57
2026-07-22,O+,127
2026-07-22,O-,95
2026-07-23,A+,92
2026-07-23,A-,43
2026-07-23,AB+,37
2026-07-23,AB-,32
2026-07-23,B+,80
2026-07-23,B-,54
2026-07-23,O+,135
2026-07-23,O-,96
2026-07-24,A+,94
2026-07-24,A-,38
2026-07-24,AB+,39
2026-07-24,AB-,28
2026-07-24,B+,75
2026-07-24,B-,56
2026-07-24,O+,125
2026-07-24,O-,100
2026-07-25,A+,106
2026-07-25,A-,42
2026-07-25,AB+,38
2026-07-25,AB-,34
2026-07-25,B+,80
2026-07-25,B-,59
2026-07-25,O+,137
2026-07-25,O-,106
2026-07-26,A+,105
2026-07-26,A-,40
2026-07-26,AB+,37
2026-07-26,AB-,30
2026-07-26,B+,76
2026-07-26,B-,61
2026-07-26,O+,134
2026-07-26,O-,97
2026-07-27,A+,98
2026-07-27,A-,41
2026-07-27,AB+,37
2026-07-27,AB-,29
2026-07-27,B+,73
2026-07-27,B-,55
2026-07-27,O+,133
2026-07-27,O-,95
2026-07-28,A+,97
2026-07-28,A-,41
2026-07-28,AB+,35
2026-07-28,AB-,29
2026-07-28,B+,68
2026-07-28,B-,55
2026-07-28,O+,126
2026-07-28,O-,97
2026-07-29,A+,97
2026-07-29,A-,42
2026-07-29,AB+,36
2026-07-29,AB-,28
2026-07-29,B+,74
2026-07-29,B-,54
2026-07-29,O+,134
2026-07-29,O-,103
2026-07-30,A+,88
2026-07-30,A-,40
2026-07-30,AB+,40
2026-07-30,AB-,35
2026-07-30,B+,79
2026-07-30,B-,57
2026-07-30,O+,126
2026-07-30,O-,99
2026-07-31,A+,88
2026-07-31,A-,38
2026-07-31,AB+,36
2026-07-31,AB-,28
2026-07-31,B+,71
2026-07-31,B-,52
2026-07-31,O+,122
2026-07-31,O-,91
2026-08-01,A+,108
2026-08-01,A-,42
2026-08-01,AB+,40
2026-08-01,AB-,31
2026-08-01,B+,80
2026-08-01,B-,58
2026-08-01,O+,142
2026-08-01,O-,110
2026-08-02,A+,103
2026-08-02,A-,42
2026-08-02,AB+,37
2026-08-02,AB-,33
2026-08-02,B+,81
2026-08-02,B-,58
2026-08-02,O+,145
2026-08-02,O-,95
2026-08-03,A+,91
2026-08-03,A-,47
2026-08-03,AB+,36
2026-08-03,AB-,31
2026-08-03,B+,69
2026-08-03,B-,56
2026-08-03,O+,133
2026-08-03,O-,98
2026-08-04,A+,91
2026-08-04,A-,38
2026-08-04,AB+,32
2026-08-04,AB-,31
2026-08-04,B+,74
2026-08-04,B-,54
2026-08-04,O+,129
2026-08-04,O-,94
2026-08-05,A+,105
2026-08-05,A-,42
2026-08-05,AB+,37
2026-08-05,AB-,30
2026-08-05,B+,79
2026-08-05,B-,57
2026-08-05,O+,141
2026-08-05,O-,97
2026-08-06,A+,92
2026-08-06,A-,35
2026-08-06,AB+,35
2026-08-06,AB-,29
2026-08-06,B+,74
2026-08-06,B-,57
2026-08-06,O+,132
2026-08-06,O-,103
2026-08-07,A+,88
2026-08-07,A-,39
2026-08-07,AB+,34
2026-08-07,AB-,29
2026-08-07,B+,70
2026-08-07,B-,51
2026-08-07,O+,126
2026-08-07,O-,93
2026-08-08,A+,101
2026-08-08,A-,47
2026-08-08,AB+,41
2026-08-08,AB-,32
2026-08-08,B+,81
2026-08-08,B-,57
2026-08-08,O+,143
2026-08-08,O-,101
2026-08-09,A+,104
2026-08-09,A-,44
2026-08-09,AB+,40
2026-08-09,AB-,31
2026-08-09,B+,89
2026-08-09,B-,57
2026-08-09,O+,137
2026-08-09,O-,107
2026-08-10,A+,93
2026-08-10,A-,36
2026-08-10,AB+,39
2026-08-10,AB-,28
2026-08-10,B+,74
2026-08-10,B-,49
2026-08-10,O+,130
2026-08-10,O-,106
2026-08-11,A+,96
2026-08-11,A-,36
2026-08-11,AB+,33
2026-08-11,AB-,27
2026-08-11,B+,71
2026-08-11,B-,52
2026-08-11,O+,124
2026-08-11,O-,94
2026-08-12,A+,94
2026-08-12,A-,41
2026-08-12,AB+,43
2026-08-12,AB-,32
2026-08-12,B+,71
2026-08-12,B-,52
2026-08-12,O+,133
2026-08-12,O-,102
2026-08-13,A+,90
2026-08-13,A-,39
2026-08-13,AB+,38
2026-08-13,AB-,28
2026-08-13,B+,79
2026-08-13,B-,55
2026-08-13,O+,131
2026-08-13,O-,100
2026-08-14,A+,94
2026-08-14,A-,39
2026-08-14,AB+,38
2026-08-14,AB-,27
2026-08-14,B+,69
2026-08-14,B-,51
2026-08-14,O+,128
2026-08-14,O-,94
2026-08-15,A+,105
2026-08-15,A-,42
2026-08-15,AB+,41
2026-08-15,AB-,35
2026-08-15,B+,79
2026-08-15,B-,54
2026-08-15,O+,146
2026-08-15,O-,106
2026-08-16,A+,103
2026-08-16,A-,44
2026-08-16,AB+,39
2026-08-16,AB-,34
2026-08-16,B+,73
2026-08-16,B-,56
2026-08-16,O+,145
2026-08-16,O-,106
2026-08-17,A+,92
2026-08-17,A-,41
2026-08-17,AB+,36
2026-08-17,AB-,30
2026-08-17,B+,72
2026-08-17,B-,49
2026-08-17,O+,132
2026-08-17,O-,98
2026-08-18,A+,92
2026-08-18,A-,37
2026-08-18,AB+,40
2026-08-18,AB-,28
2026-08-18,B+,73
2026-08-18,B-,47
2026-08-18,O+,126
2026-08-18,O-,96
2026-08-19,A+,96
2026-08-19,A-,39
2026-08-19,AB+,35
2026-08-19,AB-,30
2026-08-19,B+,76
2026-08-19,B-,49
2026-08-19,O+,134
2026-08-19,O-,94
2026-08-20,A+,97
2026-08-20,A-,41
2026-08-20,AB+,36
2026-08-20,AB-,32
2026-08-20,B+,73
2026-08-20,B-,49
2026-08-20,O+,134
2026-08-20,O-,99
2026-08-21,A+,94
2026-08-21,A-,39
2026-08-21,AB+,35
2026-08-21,AB-,24
2026-08-21,B+,75
2026-08-21,B-,46
2026-08-21,O+,127
2026-08-21,O-,96
2026-08-22,A+,110
2026-08-22,A-,43
2026-08-22,AB+,38
2026-08-22,AB-,34
2026-08-22,B+,78
2026-08-22,B-,56
2026-08-22,O+,143
2026-08-22,O-,105
2026-08-23,A+,100
2026-08-23,A-,43
2026-08-23,AB+,42
2026-08-23,AB-,34
2026-08-23,B+,78
2026-08-23,B-,51
2026-08-23,O+,132
2026-08-23,O-,105
2026-08-24,A+,98
2026-08-24,A-,41
2026-08-24,AB+,32
2026-08-24,AB-,29
2026-08-24,B+,71
2026-08-24,B-,48
2026-08-24,O+,136
2026-08-24,O-,99
2026-08-25,A+,92
2026-08-25,A-,36
2026-08-25,AB+,36
2026-08-25,AB-,26
2026-08-25,B+,76
2026-08-25,B-,44
2026-08-25,O+,125
2026-08-25,O-,95
2026-08-26,A+,93
2026-08-26,A-,40
2026-08-26,AB+,37
2026-08-26,AB-,31
2026-08-26,B+,75
2026-08-26,B-,49
2026-08-26,O+,127
2026-08-26,O-,100
2026-08-27,A+,106
2026-08-27,A-,39
2026-08-27,AB+,38
2026-08-27,AB-,30
2026-08-27,B+,74
2026-08-27,B-,49
2026-08-27,O+,136
2026-08-27,O-,98
2026-08-28,A+,91
2026-08-28,A-,36
2026-08-28,AB+,37
2026-08-28,AB-,25
2026-08-28,B+,70
2026-08-28,B-,43
2026-08-28,O+,127
2026-08-28,O-,100
2026-08-29,A+,96
2026-08-29,A-,46
2026-08-29,AB+,44
2026-08-29,AB-,33
2026-08-29,B+,80
2026-08-29,B-,51
2026-08-29,O+,138
2026-08-29,O-,109
2026-08-30,A+,99
2026-08-30,A-,39
2026-08-30,AB+,40
2026-08-30,AB-,31
2026-08-30,B+,76
2026-08-30,B-,51
2026-08-30,O+,139
2026-08-30,O-,104
2026-08-31,A+,97
2026-08-31,A-,38
2026-08-31,AB+,40
2026-08-31,AB-,30
2026-08-31,B+,77
2026-08-31,B-,47
2026-08-31,O+,137
2026-08-31,O-,92
2026-09-01,A+,93
2026-09-01,A-,40
2026-09-01,AB+,36
2026-09-01,AB-,30
2026-09-01,B+,75
2026-09-01,B-,44
2026-09-01,O+,130
2026-09-01,O-,97
2026-09-02,A+,94
2026-09-02,A-,39
2026-09-02,AB+,36
2026-09-02,AB-,28
2026-09-02,B+,75
2026-09-02,B-,45
2026-09-02,O+,129
2026-09-02,O-,96
2026-09-03,A+,93
2026-09-03,A-,39
2026-09-03,AB+,33
2026-09-03,AB-,28
2026-09-03,B+,72
2026-09-03,B-,44
2026-09-03,O+,126
2026-09-03,O-,97
2026-09-04,A+,86
2026-09-04,A-,37
2026-09-04,AB+,35
2026-09-04,AB-,29
2026-09-04,B+,70
2026-09-04,B-,41
2026-09-04,O+,129
2026-09-04,O-,95
2026-09-05,A+,103
2026-09-05,A-,43
2026-09-05,AB+,41
2026-09-05,AB-,31
2026-09-05,B+,83
2026-09-05,B-,47
2026-09-05,O+,134
2026-09-05,O-,109
2026-09-06,A+,98
2026-09-06,A-,41
2026-09-06,AB+,37
2026-09-06,AB-,30
2026-09-06,B+,84
2026-09-06,B-,46
2026-09-06,O+,144
2026-09-06,O-,115
2026-09-07,A+,99
2026-09-07,A-,41
2026-09-07,AB+,36
2026-09-07,AB-,30
2026-09-07,B+,75
2026-09-07,B-,40
2026-09-07,O+,135
2026-09-07,O-,99
2026-09-08,A+,94
2026-09-08,A-,40
2026-09-08,AB+,35
2026-09-08,AB-,25
2026-09-08,B+,73
2026-09-08,B-,44
2026-09-08,O+,123
2026-09-08,O-,94
2026-09-09,A+,95
2026-09-09,A-,38
2026-09-09,AB+,34
2026-09-09,AB-,27
2026-09-09,B+,79
2026-09-09,B-,40
2026-09-09,O+,123
2026-09-09,O-,97
2026-09-10,A+,92
2026-09-10,A-,39
2026-09-10,AB+,34
2026-09-10,AB-,30
2026-09-10,B+,70
2026-09-10,B-,42
2026-09-10,O+,124
2026-09-10,O-,102
2026-09-11,A+,96
2026-09-11,A-,38
2026-09-11,AB+,38
2026-09-11,AB-,27
2026-09-11,B+,72
2026-09-11,B-,38
2026-09-11,O+,121
2026-09-11,O-,96
2026-09-12,A+,102
2026-09-12,A-,47
2026-09-12,AB+,38
2026-09-12,AB-,33
2026-09-12,B+,85
2026-09-12,B-,44
2026-09-12,O+,147
2026-09-12,O-,104
2026-09-13,A+,100
2026-09-13,A-,42
2026-09-13,AB+,36
2026-09-13,AB-,32
